EN111_r06c02_Dep00Ch16_F01/0/00/3	3501.00	0	0	1	0	0	3366	22101	22585	21950	21951	0_Good
EN088_r05c01_Dep22Ch03_F01/0/00/0	3930.60	0	0	1	0	0	3366	22101	22585	21950	21951	0_Good
EN110_r06c01_Dep22Ch04_F01/0/00/2	3395.40	0	0	1	0	0	3366	22101	22585	21950	21951	0_Good
EN090_r05c03_Dep00Ch13_F01/0/01/0	2523.00	0	0	1	0	1	3366	22566	23205	22397	22565	0_Good
EN091_r05c04_Dep00Ch14_F01/0/01/1	2755.80	0	0	1	0	1	3366	22566	23205	22397	22565	0_Good
EN112_r06c03_Dep00Ch17_F01/0/01/2	2547.00	0	0	1	0	1	3366	22566	23205	22397	22565	0_Good
EN113_r06c04_Dep00Ch18_F01/0/01/3	2553.00	0	0	1	0	1	3366	22566	23205	22397	22565	0_Good
EN092_r05c05_Dep00Ch15_F01/0/02/0	3297.60	0	0	1	0	2	3366	23187	23616	22897	22981	0_Good
EN114_r06c05_Dep00Ch19_F01/0/02/2	3435.00	0	0	1	0	2	3366	23187	23616	22897	22981	0_Good
EN093_r05c06_Dep01Ch12_F01/0/02/1	3121.80	0	0	1	0	2	3366	23187	23616	22897	22981	0_Good
EN115_r06c06_Dep01Ch16_F01/0/02/3	3079.80	0	0	1	0	2	3366	23187	23616	22897	22981	0_Good
EN094_r05c07_Dep01Ch13_F01/0/03/0	2098.20	0	0	1	0	3	3366	23300	23598	22916	22979	0_Good
EN095_r05c08_Dep01Ch14_F01/0/03/1	2170.20	0	0	1	0	3	3366	23300	23598	22916	22979	0_Good
EN116_r06c07_Dep01Ch17_F01/0/03/2	0.00	0	0	1	0	3	3366	23300	23598	22916	22979	5_Ped_Led
EN117_r06c08_Dep01Ch18_F01/0/03/3	2757.00	0	0	1	0	3	3366	23300	23598	22916	22979	0_Good
EN096_r05c09_Dep01Ch15_F01/0/04/0	2713.20	0	0	1	0	4	3366	23238	23588	22990	23035	0_Good
EN118_r06c09_Dep01Ch19_F01/0/04/2	2863.20	0	0	1	0	4	3366	23238	23588	22990	23035	0_Good
EN097_r05c10_Dep02Ch12_F01/0/04/1	2260.20	0	0	1	0	4	3366	23238	23588	22990	23035	0_Good
EN119_r06c10_Dep02Ch16_F01/0/04/3	2826.00	0	0	1	0	4	3366	23238	23588	22990	23035	0_Good
EN098_r05c11_Dep02Ch13_F01/0/05/0	2196.60	0	0	1	0	5	3366	23337	23630	23041	23148	0_Good
EN099_r05c12_Dep02Ch14_F01/0/05/1	2016.60	0	0	1	0	5	3366	23337	23630	23041	23148	0_Good
EN120_r06c11_Dep02Ch17_F01/0/05/2	2472.00	0	0	1	0	5	3366	23337	23630	23041	23148	0_Good
EN121_r06c12_Dep02Ch18_F01/0/05/3	2005.80	0	0	1	0	5	3366	23337	23630	23041	23148	0_Good
EN100_r05c13_Dep02Ch15_F01/0/06/0	2654.40	0	0	1	0	6	3366	23319	23686	23150	23130	0_Good
EN122_r06c13_Dep02Ch19_F01/0/06/2	2971.80	0	0	1	0	6	3366	23319	23686	23150	23130	0_Good
EN101_r05c14_Dep03Ch12_F01/0/06/1	3174.60	0	0	1	0	6	3366	23319	23686	23150	23130	0_Good
EN123_r06c14_Dep03Ch16_F01/0/06/3	2671.80	0	0	1	0	6	3366	23319	23686	23150	23130	0_Good
EN102_r05c15_Dep03Ch13_F01/0/07/0	2646.60	0	0	1	0	7	3366	23166	23555	23044	23018	0_Good
EN103_r05c16_Dep03Ch14_F01/0/07/1	2683.20	0	0	1	0	7	3366	23166	23555	23044	23018	0_Good
